stop_id,latitude,longitude,,,,,,,,
1,-10.00080,-36.01850,,,,,,,,
2,-10.00180,-36.01800,,,,,,,,
3,-10.00220,-36.01790,,,,,,,,
4,-10.00220,-36.01810,,,,,,,,
5,-10.00220,-36.01820,,,,,,,,
6,-10.00350,-36.01770,,,,,,,,
7,-10.00380,-36.01760,,,,,,,,
8,-10.00390,-36.01760,,,,,,,,
9,-10.00470,-36.02550,,,,,,,,
10,-10.00580,-36.01680,,,,,,,,
11,-10.00580,-36.01690,,,,,,,,
12,-10.00630,-36.01690,,,,,,,,
13,-10.00760,-36.01710,,,,,,,,
14,-10.00850,-36.01740,,,,,,,,
15,-10.01020,-36.01850,,,,,,,,
16,-10.01070,-36.02610,,,,,,,,
17,-10.01083,-36.02311,,,,,,,,
18,-10.01090,-36.02510,,,,,,,,
19,-10.01110,-36.02350,,,,,,,,
20,-10.01110,-36.02490,,,,,,,,
21,-10.01510,-36.02530,,,,,,,,
22,-10.01520,-36.02520,,,,,,,,
23,-10.01590,-36.02300,,,,,,,,
24,-10.01710,-36.02370,,,,,,,,
25,-10.02480,-36.02450,,,,,,,,
26,-10.02890,-36.02260,,,,,,,,
27,-10.04170,-36.03300,,,,,,,,
28,-10.04390,-36.03070,,,,,,,,
29,-9.77955,-36.10420,,,,,,,,
30,-9.78076,-36.09340,,,,,,,,
31,-9.78087,-36.09420,,,,,,,,
32,-9.78213,-36.10340,,,,,,,,
33,-9.78284,-36.10390,,,,,,,,
34,-9.78882,-36.10410,,,,,,,,
35,-9.79033,-36.10460,,,,,,,,
36,-9.79213,-36.10480,,,,,,,,
37,-9.79514,-36.10730,,,,,,,,
38,-9.79589,-36.10560,,,,,,,,
39,-9.79637,-36.10100,,,,,,,,
40,-9.79641,-36.10100,,,,,,,,
41,-9.83457,-36.13140,,,,,,,,
42,-9.83756,-36.13320,,,,,,,,
43,-9.83789,-36.13380,,,,,,,,
44,-9.84182,-36.13580,,,,,,,,
45,-9.84558,-36.13850,,,,,,,,
46,-9.85982,-36.21900,,,,,,,,
47,-9.87052,-36.15170,,,,,,,,
48,-9.87327,-36.14620,,,,,,,,
49,-9.87374,-36.14590,,,,,,,,
50,-9.87735,-36.14630,,,,,,,,
51,-9.87778,-36.17800,,,,,,,,
52,-9.88005,-36.16550,,,,,,,,
53,-9.88212,-36.17080,,,,,,,,
54,-9.88212,-36.17260,,,,,,,,
55,-9.88359,-36.16160,,,,,,,,
56,-9.88733,-36.15310,,,,,,,,
57,-9.89341,-36.14690,,,,,,,,
58,-9.89346,-36.14680,,,,,,,,
59,-9.89900,-36.22220,,,,,,,,
60,-9.89902,-36.21970,,,,,,,,
61,-9.89908,-36.22010,,,,,,,,
62,-9.89923,-36.18570,,,,,,,,
63,-9.89927,-36.18570,,,,,,,,
64,-9.89937,-36.22110,,,,,,,,
65,-9.90041,-36.21950,,,,,,,,
66,-9.90120,-36.22240,,,,,,,,
67,-9.90195,-36.21930,,,,,,,,
68,-9.90203,-36.21930,,,,,,,,
69,-9.90249,-36.22220,,,,,,,,
70,-9.90306,-36.12800,,,,,,,,
71,-9.90400,-36.22210,,,,,,,,
72,-9.90406,-36.21900,,,,,,,,
73,-9.91511,-36.03270,,,,,,,,
74,-9.91677,-36.03450,,,,,,,,
75,-9.94119,-36.10490,,,,,,,,
76,-9.94329,-36.10330,,,,,,,,
77,-9.94369,-36.09410,,,,,,,,
78,-9.94397,-36.10250,,,,,,,,
79,-9.94403,-36.08070,,,,,,,,
80,-9.94441,-36.10120,,,,,,,,
81,-9.94456,-36.10090,,,,,,,,
82,-9.94521,-36.07960,,,,,,,,
83,-9.94553,-36.10050,,,,,,,,
84,-9.94624,-36.07870,,,,,,,,
85,-9.94645,-36.07850,,,,,,,,
86,-9.94664,-36.09810,,,,,,,,
87,-9.94665,-36.07870,,,,,,,,
88,-9.94676,-36.09890,,,,,,,,
89,-9.94706,-36.07790,,,,,,,,
90,-9.94926,-36.09390,,,,,,,,
91,-9.94936,-36.09530,,,,,,,,
92,-9.94984,-36.09230,,,,,,,,
93,-9.94986,-36.09230,,,,,,,,
94,-9.95008,-36.09160,,,,,,,,
95,-9.95023,-36.04830,,,,,,,,
96,-9.95029,-36.09080,,,,,,,,
97,-9.95031,-36.09070,,,,,,,,
98,-9.95032,-36.09070,,,,,,,,
99,-9.95043,-36.08750,,,,,,,,
100,-9.95056,-36.08900,,,,,,,,
101,-9.95135,-36.08940,,,,,,,,
102,-9.95164,-36.04920,,,,,,,,
103,-9.95254,-36.18450,,,,,,,,
104,-9.95322,-36.08050,,,,,,,,
105,-9.95324,-36.08050,,,,,,,,
106,-9.95477,-36.07850,,,,,,,,
107,-9.95480,-36.07860,,,,,,,,
108,-9.95514,-36.07770,,,,,,,,
109,-9.95516,-36.07790,,,,,,,,
110,-9.95706,-36.07550,,,,,,,,
111,-9.95818,-36.07440,,,,,,,,
112,-9.95937,-36.07310,,,,,,,,
113,-9.96054,-36.04780,,,,,,,,
114,-9.96099,-36.06960,,,,,,,,
115,-9.96120,-36.06930,,,,,,,,
116,-9.96174,-36.04960,,,,,,,,
117,-9.96184,-36.04990,,,,,,,,
118,-9.96204,-36.04990,,,,,,,,
